From,To,Televoting points
al,be,1
am,au,1
at,lv,1
au,ge,1
az,es,1
be,ge,1
by,it,1
ch,es,1
cy,ro,1
cz,hu,1
de,hu,1
dk,lt,1
ee,ge,1
es,il,1
fi,si,1
fr,hu,1
gb,rs,1
ge,il,1
gr,am,1
hu,ro,1
ie,gb,1
il,es,1
is,ee,1
it,pl,1
lt,it,1
lv,il,1
md,es,1
me,ee,1
mk,be,1
mt,gb,1
nl,rs,1
no,si,1
pl,si,1
pt,ee,1
ro,il,1
rs,lv,1
ru,es,1
se,si,1
si,cy,1
sm,fr,1
al,rs,2
am,lv,2
at,il,2
au,il,2
az,me,2
be,ee,2
by,il,2
ch,be,2
cy,ee,2
cz,am,2
de,ee,2
dk,ro,2
ee,lt,2
es,no,2
fi,it,2
fr,au,2
gb,pl,2
ge,ee,2
gr,ge,2
hu,it,2
ie,be,2
il,rs,2
is,si,2
it,ee,2
lt,az,2
lv,no,2
md,lv,2
me,es,2
mk,ee,2
mt,no,2
nl,lv,2
no,ru,2
pl,ee,2
pt,lv,2
ro,au,2
rs,ee,2
ru,lv,2
se,me,2
si,au,2
sm,il,2
al,au,3
am,fr,3
at,rs,3
au,ee,3
az,si,3
be,am,3
by,ge,3
ch,il,3
cy,lv,3
cz,rs,3
de,it,3
dk,no,3
ee,it,3
es,ee,3
fi,il,3
fr,am,3
gb,be,3
ge,lt,3
gr,lv,3
hu,ge,3
ie,pl,3
il,ee,3
is,ru,3
it,rs,3
lt,au,3
lv,si,3
md,az,3
me,il,3
mk,am,3
mt,ee,3
nl,no,3
no,ee,3
pl,no,3
pt,es,3
ro,az,3
rs,au,3
ru,az,3
se,ee,3
si,be,3
sm,gb,3
al,ee,4
am,be,4
at,no,4
au,no,4
az,ee,4
be,au,4
by,am,4
ch,lv,4
cy,au,4
cz,ge,4
de,no,4
dk,lv,4
ee,no,4
es,lv,4
fi,no,4
fr,pl,4
gb,lt,4
ge,lv,4
gr,se,4
hu,no,4
ie,no,4
il,be,4
is,be,4
it,lv,4
lt,si,4
lv,be,4
md,au,4
me,si,4
mk,me,4
mt,lv,4
nl,ee,4
no,il,4
pl,il,4
pt,ro,4
ro,hu,4
rs,be,4
ru,au,4
se,il,4
si,no,4
sm,hu,4
al,il,5
am,gr,5
at,be,5
au,rs,5
az,lv,5
be,ro,5
by,lv,5
ch,rs,5
cy,ru,5
cz,lv,5
de,il,5
dk,it,5
ee,au,5
es,ro,5
fi,au,5
fr,es,5
gb,il,5
ge,ru,5
gr,au,5
hu,lv,5
ie,au,5
il,ro,5
is,il,5
it,no,5
lt,no,5
lv,au,5
md,ge,5
me,se,5
mk,se,5
mt,il,5
nl,il,5
no,it,5
pl,be,5
pt,be,5
ro,lv,5
rs,si,5
ru,ge,5
se,lv,5
si,ru,5
sm,be,5
al,me,6
am,it,6
at,ee,6
au,be,6
az,se,6
be,al,6
by,au,6
ch,it,6
cy,il,6
cz,be,6
de,lv,6
dk,ee,6
ee,lv,6
es,be,6
fi,lv,6
fr,it,6
gb,ru,6
ge,be,6
gr,al,6
hu,ru,6
ie,it,6
il,si,6
is,it,6
it,au,6
lt,ge,6
lv,ee,6
md,be,6
me,it,6
mk,ru,6
mt,au,6
nl,ru,6
no,lt,6
pl,ru,6
pt,no,6
ro,no,6
rs,il,6
ru,am,6
se,ru,6
si,rs,6
sm,no,6
al,se,7
am,se,7
at,se,7
au,lv,7
az,il,7
be,lv,7
by,ee,7
ch,ru,7
cy,be,7
cz,it,7
de,au,7
dk,be,7
ee,be,7
es,au,7
fi,be,7
fr,lv,7
gb,lv,7
ge,se,7
gr,be,7
hu,ee,7
ie,lt,7
il,au,7
is,lv,7
it,be,7
lt,be,7
lv,lt,7
md,it,7
me,ru,7
mk,it,7
mt,ru,7
nl,it,7
no,be,7
pl,it,7
pt,il,7
ro,be,7
rs,it,7
ru,ee,7
se,no,7
si,lv,7
sm,se,7
al,ru,8
am,me,8
at,ru,8
au,it,8
az,it,8
be,it,8
by,be,8
ch,au,8
cy,gr,8
cz,ru,8
de,be,8
dk,au,8
ee,hu,8
es,se,8
fi,ru,8
fr,se,8
gb,it,8
ge,it,8
gr,ru,8
hu,au,8
ie,ru,8
il,ru,8
is,au,8
it,il,8
lt,ee,8
lv,it,8
md,se,8
me,az,8
mk,si,8
mt,az,8
nl,au,8
no,lv,8
pl,au,8
pt,se,8
ro,se,8
rs,se,8
ru,se,8
se,it,8
si,it,8
sm,au,8
al,gr,10
am,ge,10
at,it,10
au,ru,10
az,ge,10
be,ru,10
by,se,10
ch,no,10
cy,se,10
cz,se,10
de,se,10
dk,ru,10
ee,se,10
es,ru,10
fi,ee,10
fr,ru,10
gb,au,10
ge,az,10
gr,cy,10
hu,se,10
ie,se,10
il,se,10
is,no,10
it,ru,10
lt,se,10
lv,ru,10
md,ru,10
me,al,10
mk,rs,10
mt,se,10
nl,se,10
no,au,10
pl,lv,10
pt,ru,10
ro,ru,10
rs,ru,10
ru,be,10
se,be,10
si,me,10
sm,it,10
al,it,12
am,ru,12
at,au,12
au,se,12
az,ru,12
be,se,12
by,ru,12
ch,se,12
cy,it,12
cz,az,12
de,ru,12
dk,se,12
ee,ru,12
es,it,12
fi,se,12
fr,be,12
gb,se,12
ge,am,12
gr,it,12
hu,be,12
ie,lv,12
il,it,12
is,se,12
it,se,12
lt,lv,12
lv,se,12
md,ro,12
me,rs,12
mk,al,12
mt,it,12
nl,be,12
no,se,12
pl,se,12
pt,it,12
ro,it,12
rs,me,12
ru,it,12
se,au,12
si,se,12
sm,lv,12
