Country code,Artist,Song,Total score,Televoting score,Jury score,Placement
ua,Jamala,1944,534,323,211,1
au,Dami Im,Sound of Silence,511,191,320,2
ru,Sergey Lazarev,You Are the Only One,491,361,130,3
bg,Poli Genova,If Love Was a Crime,307,180,127,4
se,Frans,If I Were Sorry,261,139,122,5
fr,Amir,J'ai Cherché,257,109,148,6
am,Iveta Mukuchyan,LoveWave,249,134,115,7
pl,Michał Szpak,Color of Your Life,229,222,7,8
lt,Donny Montell,I've Been Waiting for This Night,200,96,104,9
be,Laura Tesoro,What's the Pressure,181,51,130,10
nl,Douwe Bob,Slow Down,153,39,114,11
mt,Ira Losco,Walk on Water,153,16,137,12
at,Zoë,Loin d'ici,151,120,31,13
il,Hovi Star,Made of Stars,135,11,124,14
lv,Justs,Heartbeat,132,63,69,15
it,Francesca Michielin,No Degree of Separation,124,34,90,16
az,Samra,Miracle,117,73,44,17
rs,Sanja Vučić,Goodbye (Shelter),115,80,35,18
hu,Freddie,Pioneer,108,56,52,19
ge,Nika Kocharov & Young Georgian Lolitaz,Midnight Gold,104,24,80,20
cy,Minus One,Alter Ego,96,53,43,21
es,Barei,Say Yay!,77,10,67,22
hr,Nina Kraljić,Lighthouse,73,33,40,23
gb,Joe & Jake,You're Not Alone,62,8,54,24
cz,Gabriela Gunčíková,I Stand,41,0,41,25
de,Jamie-Lee Kriewitz,Ghost,11,10,1,26
