Country code,Artist,Song,Total score,Televoting score,Jury score,Placement
az,Ell/Nikki,Running Scared,221,0,0,1
it,Raphael Gualazzi,Madness Of Love,189,0,0,2
se,Eric Saade,Popular,185,0,0,3
ua,Mika Newton,Angel,159,0,0,4
dk,A Friend In London,New Tomorrow,134,0,0,5
ba,Dino Merlin,Love In Rewind,125,0,0,6
gr,Loucas Yiorkas feat. Stereo Mike,Watch My Dance,120,0,0,7
ie,Jedward,Lipstick,119,0,0,8
ge,Eldrine,One More Day,110,0,0,9
de,Lena,Taken By A Stranger,107,0,0,10
gb,Blue,I Can,100,0,0,11
md,Zdob și Zdub,So Lucky,97,0,0,12
si,Maja Keuc,No One,96,0,0,13
rs,Nina,Čaroban,85,0,0,14
fr,Amaury Vassili,Sognu,82,0,0,15
ru,Alexej Vorobjov,Get You,77,0,0,16
ro,Hotel FM,Change,77,0,0,17
at,Nadine Beiler,The Secret Is Love,64,0,0,18
lt,Evelina Sašenko,C'est Ma Vie,63,0,0,19
is,Sjonni's Friends,Coming Home,61,0,0,20
fi,Paradise Oskar,Da Da Dam,57,0,0,21
hu,Kati Wolf,What About My Dreams?,53,0,0,22
es,Lucía Pérez,Que Me Quiten Lo Bailao,50,0,0,23
ee,Getter Jaani,Rockefeller Street,44,0,0,24
ch,Anna Rossinelli,In Love For A While,19,0,0,25
