From,To,Televoting points
al,rs,1
am,rs,1
at,ro,1
az,it,1
ba,is,1
be,md,1
bg,ge,1
by,dk,1
ch,az,1
cy,it,1
de,si,1
dk,at,1
ee,ro,1
es,lt,1
fi,at,1
fr,gb,1
gb,es,1
ge,se,1
gr,ru,1
hr,de,1
hu,ro,1
ie,ro,1
il,gb,1
is,ru,1
it,fr,1
lt,fi,1
lv,fr,1
md,gr,1
mk,it,1
mt,fr,1
nl,at,1
no,gb,1
pl,ie,1
pt,si,1
ro,lt,1
rs,se,1
ru,se,1
se,is,1
si,gb,1
sk,si,1
sm,si,1
tr,at,1
ua,se,1
al,fr,2
am,gb,2
at,hu,2
az,hu,2
ba,ie,2
be,ee,2
bg,ba,2
by,gb,2
ch,gr,2
cy,ru,2
de,fi,2
dk,ee,2
ee,si,2
es,is,2
fi,rs,2
fr,hu,2
gb,at,2
ge,fr,2
gr,gb,2
hr,lt,2
hu,at,2
ie,si,2
il,ge,2
is,gb,2
it,gr,2
lt,de,2
lv,az,2
md,fr,2
mk,at,2
mt,at,2
nl,si,2
no,ee,2
pl,ua,2
pt,fr,2
ro,ua,2
rs,it,2
ru,lt,2
se,ua,2
si,es,2
sk,es,2
sm,gb,2
tr,si,2
ua,ee,2
al,ua,3
am,at,3
at,si,3
az,se,3
ba,de,3
be,az,3
bg,ie,3
by,it,3
ch,es,3
cy,dk,3
de,it,3
dk,gb,3
ee,ge,3
es,de,3
fi,it,3
fr,de,3
gb,se,3
ge,at,3
gr,ba,3
hr,at,3
hu,ru,3
ie,fi,3
il,si,3
is,it,3
it,rs,3
lt,gb,3
lv,si,3
md,se,3
mk,gr,3
mt,si,3
nl,rs,3
no,lt,3
pl,dk,3
pt,gb,3
ro,se,3
rs,gr,3
ru,fr,3
se,az,3
si,it,3
sk,at,3
sm,fr,3
tr,de,3
ua,gb,3
al,ru,4
am,se,4
at,ie,4
az,ru,4
ba,fr,4
be,se,4
bg,ru,4
by,se,4
ch,it,4
cy,gb,4
de,md,4
dk,ro,4
ee,es,4
es,rs,4
fi,fr,4
fr,md,4
gb,is,4
ge,ru,4
gr,de,4
hr,se,4
hu,it,4
ie,se,4
il,az,4
is,ie,4
it,ba,4
lt,md,4
lv,ee,4
md,gb,4
mk,es,4
mt,ua,4
nl,ro,4
no,ba,4
pl,de,4
pt,is,4
ro,si,4
rs,ru,4
ru,gb,4
se,at,4
si,se,4
sk,ch,4
sm,dk,4
tr,se,4
ua,hu,4
al,es,5
am,fr,5
at,md,5
az,gb,5
ba,se,5
be,de,5
bg,at,5
by,ru,5
ch,fi,5
cy,ua,5
de,ru,5
dk,fi,5
ee,ru,5
es,se,5
fi,az,5
fr,ba,5
gb,dk,5
ge,md,5
gr,az,5
hr,ua,5
hu,ge,5
ie,it,5
il,ee,5
is,hu,5
it,is,5
lt,rs,5
lv,gb,5
md,ru,5
mk,gb,5
mt,dk,5
nl,ie,5
no,de,5
pl,fi,5
pt,md,5
ro,es,5
rs,ch,5
ru,si,5
se,hu,5
si,at,5
sk,md,5
sm,rs,5
tr,ro,5
ua,fr,5
al,gb,6
am,it,6
at,it,6
az,ro,6
ba,it,6
be,it,6
bg,ro,6
by,az,6
ch,rs,6
cy,si,6
de,dk,6
dk,is,6
ee,it,6
es,hu,6
fi,se,6
fr,az,6
gb,lt,6
ge,gr,6
gr,se,6
hr,fr,6
hu,si,6
ie,gb,6
il,ro,6
is,de,6
it,de,6
lt,ru,6
lv,dk,6
md,ee,6
mk,se,6
mt,se,6
nl,az,6
no,rs,6
pl,rs,6
pt,ie,6
ro,it,6
rs,ua,6
ru,ge,6
se,de,6
si,ua,6
sk,dk,6
sm,se,6
tr,gb,6
ua,gr,6
al,ba,7
am,gr,7
at,rs,7
az,md,7
ba,at,7
be,ie,7
bg,dk,7
by,md,7
ch,at,7
cy,fr,7
de,ba,7
dk,si,7
ee,fi,7
es,ie,7
fi,ee,7
fr,dk,7
gb,it,7
ge,it,7
gr,ua,7
hr,ba,7
hu,az,7
ie,ee,7
il,ua,7
is,se,7
it,ua,7
lt,ee,7
lv,lt,7
md,ge,7
mk,ua,7
mt,gb,7
nl,de,7
no,dk,7
pl,ge,7
pt,ua,7
ro,hu,7
rs,lt,7
ru,md,7
se,fi,7
si,de,7
sk,az,7
sm,ge,7
tr,ua,7
ua,md,7
al,az,8
am,ru,8
at,az,8
az,gr,8
ba,az,8
be,gr,8
bg,ua,8
by,de,8
ch,de,8
cy,az,8
de,ie,8
dk,de,8
ee,az,8
es,ro,8
fi,is,8
fr,it,8
gb,md,8
ge,az,8
gr,ge,8
hr,rs,8
hu,gr,8
ie,md,8
il,ru,8
is,az,8
it,md,8
lt,az,8
lv,de,8
md,ua,8
mk,rs,8
mt,ie,8
nl,ba,8
no,is,8
pl,az,8
pt,az,8
ro,gr,8
rs,hu,8
ru,gr,8
se,ba,8
si,dk,8
sk,ie,8
sm,gr,8
tr,ge,8
ua,ru,8
al,gr,10
am,ge,10
at,de,10
az,ge,10
ba,rs,10
be,ro,10
bg,gr,10
by,ua,10
ch,is,10
cy,se,10
de,gr,10
dk,se,10
ee,dk,10
es,fr,10
fi,ie,10
fr,se,10
gb,ch,10
ge,ua,10
gr,it,10
hr,az,10
hu,se,10
ie,lt,10
il,dk,10
is,fi,10
it,gb,10
lt,it,10
lv,ie,10
md,az,10
mk,si,10
mt,it,10
nl,se,10
no,se,10
pl,it,10
pt,it,10
ro,az,10
rs,si,10
ru,ua,10
se,dk,10
si,rs,10
sk,se,10
sm,az,10
tr,ba,10
ua,az,10
al,it,12
am,ua,12
at,ba,12
az,ua,12
ba,si,12
be,fr,12
bg,gb,12
by,ge,12
ch,ba,12
cy,gr,12
de,at,12
dk,ie,12
ee,se,12
es,it,12
fi,hu,12
fr,es,12
gb,ie,12
ge,lt,12
gr,fr,12
hr,si,12
hu,is,12
ie,dk,12
il,se,12
is,dk,12
it,ro,12
lt,ge,12
lv,it,12
md,ro,12
mk,ba,12
mt,az,12
nl,dk,12
no,fi,12
pl,lt,12
pt,es,12
ro,md,12
rs,ba,12
ru,az,12
se,ie,12
si,ba,12
sk,ua,12
sm,it,12
tr,az,12
ua,ge,12
